station_id,name,short_name,latitude,longitude,region_id,rental_methods,capacity,eightd_has_key_dispenser,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,eightd_has_available_keys,last_reported
4283,38 St & 30 Ave,6850.01,40.764174520197685,-73.915839940309525,71,"CREDITCARD,KEY",27,false,0,0,27,0,true,true,true,false,2021-11-09T00:00:00
4434,W 190 St & St. Nicholas Ave,8453.14,40.854788,-73.929513,71,"CREDITCARD,KEY",28,false,0,1,27,0,true,true,true,false,2021-11-08T00:00:00
264,Maiden Ln & Pearl St,5065.10,40.70706456,-74.00731853,71,"CREDITCARD,KEY",29,false,0,0,0,29,true,false,false,false,2021-11-08T00:00:00
3423,West Drive & Prospect Park West,3651.04,40.6610633719006,-73.979452550411224,71,"CREDITCARD,KEY",29,false,0,8,0,21,true,true,true,false,2021-11-09T00:00:00
4224,Amsterdam Ave & W 119 St,7727.08,40.808632175063671,-73.959586098872023,71,"CREDITCARD,KEY",29,false,0,1,28,0,true,true,true,false,2021-11-09T00:00:00
3967,W 146 St & Broadway,8018.09,40.826969,-73.949738,71,"CREDITCARD,KEY",30,false,0,2,28,0,true,true,true,false,2021-11-09T00:00:00
4068,Fort Washington Ave & W 183 St,8399.06,40.852252,-73.937854,71,"CREDITCARD,KEY",30,false,0,1,29,0,true,true,true,false,2021-11-08T00:00:00
4096,Grand Concourse & E 167 St,8126.07,40.834263,-73.917641,71,"CREDITCARD,KEY",30,false,0,2,28,0,true,true,true,false,2021-11-08T00:00:00
4384,53 St & 5 Ave,3129.08,40.643371,-74.011884,71,"CREDITCARD,KEY",30,false,0,1,29,0,true,true,true,false,2021-11-08T00:00:00
4517,South Waterfront Walkway - Sinatra Dr & 1 St,HB103,40.736982218187158,-74.027780592441559,311,"CREDITCARD,KEY",30,false,0,0,30,0,true,true,true,false,2021-11-08T00:00:00
3159,W 67 St & Broadway,7116.04,40.77492513,-73.98266566,71,"CREDITCARD,KEY",31,false,0,3,28,0,true,true,true,false,2021-11-09T00:00:00
3628,Lenox Ave & W 117 St,7655.22,40.8025566,-73.9490782,71,"CREDITCARD,KEY",31,false,0,1,30,0,true,true,true,false,2021-11-09T00:00:00
3959,Edgecombe Ave & W 145 St,7976.08,40.823498,-73.94386,71,"CREDITCARD,KEY",31,false,0,0,31,0,true,true,true,false,2021-11-09T00:00:00
4486,Broadway & W 168 St,8226.06,40.840896031930413,-73.939720988273621,71,"CREDITCARD,KEY",31,false,0,2,29,0,true,true,true,false,2021-11-08T00:00:00
4303,Steinway St & Broadway,6711.13,40.759057954185863,-73.918975442647934,71,"CREDITCARD,KEY",32,false,0,1,31,0,true,true,true,false,2021-11-08T00:00:00
3418,Plaza St West & Flatbush Ave,4010.13,40.6750207,-73.97111473,71,"CREDITCARD,KEY",33,false,0,0,33,0,true,true,true,false,2021-11-09T00:00:00
3545,Broadway & W 122 St,7783.18,40.8120562,-73.9612547,71,"CREDITCARD,KEY",33,false,0,0,33,0,true,true,true,false,2021-11-09T00:00:00
456,E 53 St & Madison Ave,6659.03,40.7597108,-73.97402311,71,"CREDITCARD,KEY",34,false,0,3,31,0,true,true,true,false,2021-11-08T00:00:00
3195,Sip Ave,JC056,40.730897097861792,-74.063912630081177,70,"CREDITCARD,KEY",34,false,0,4,30,0,true,true,true,false,2021-11-09T00:00:00
3235,E 41 St & Madison Ave (SW corner),6474.12,40.752165280621966,-73.979921936988816,71,"CREDITCARD,KEY",34,false,0,1,33,0,true,true,true,false,2021-11-09T00:00:00
3132,E 59 St & Madison Ave,6801.01,40.76350532,-73.97109243,71,"CREDITCARD,KEY",35,false,0,2,33,0,true,true,true,false,2021-11-09T00:00:00
3345,Madison Ave & E 99 St,7443.01,40.789485415532148,-73.952429294586182,71,"CREDITCARD,KEY",35,false,0,0,35,0,true,true,true,false,2021-11-09T00:00:00
4065,Wadsworth Ave & W 179 St,8336.02,40.848467,-73.936064,71,"CREDITCARD,KEY",35,false,0,0,35,0,true,true,true,false,2021-11-08T00:00:00
4073,W 51 St & Rockefeller Plaza,6700.14,40.75973805251143,-73.978116139769554,71,"CREDITCARD,KEY",35,false,0,1,34,0,true,true,true,false,2021-11-08T00:00:00
3785,W 42 St & 6 Ave,6517.08,40.75492,-73.98455,71,"CREDITCARD,KEY",37,false,0,1,36,0,true,true,true,false,2021-11-09T00:00:00
465,Broadway & W 41 St,6560.01,40.75513557,-73.98658032,71,"CREDITCARD,KEY",39,false,0,3,36,0,true,true,true,false,2021-11-09T00:00:00
3147,E 85 St & 3 Ave,7212.05,40.77801203,-73.95407149,71,"CREDITCARD,KEY",39,false,0,7,32,0,true,true,true,false,2021-11-09T00:00:00
3160,Central Park West & W 76 St,7253.04,40.77896784,-73.97374737,71,"CREDITCARD,KEY",39,false,0,1,38,0,true,true,true,false,2021-11-09T00:00:00
